scraped_time	output_file	url	desc
20250326_180139	output\311765.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311765	[일상문답] 끊이지 않는 상념은 어떻게 끊나요
20250326_180139	output\311676.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311676	[세상은 한 일터] 익산원광효도요양병원- “가장 기본부터 실천… 품격이 만들어진다”
20250326_180140	output\311771.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311771	[산촌마을 좌포이야기] 산촌마을의 ‘교육·농사·훈련’ 봄맞이
20250326_180140	output\311800.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311800	직접 교당 방문, 전무출신 인재 발굴 나서
20250326_180140	output\311789.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311789	영화 ‘괴물’- 우리 중의 괴물은 누구인가?
20250326_180140	output\311781.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311781	〈문명전환의 한국사상: 개벽의 사상사 2〉
20250326_180140	output\311714.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311714	‘공부하는 교화단’으로 교화·친애·창의 이룬다
20250326_180140	output\311767.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311767	[키다리교무님의 정전공부] 정신개벽 영성시대의 종교 원불교
20250326_180141	output\311737.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311737	[키다리교무님의 정전공부] 사실적 도덕의 훈련과 광대무량한 낙원 1
20250326_180141	output\311668.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311668	[키다리교무님의 정전공부] 진리적 종교의 신앙과 광대무량한 낙원
20250326_180401	output\311622.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311622	[키다리교무님의 정전공부] 도반이 되어 동남풍의 주인공 됩시다
20250326_180401	output\311551.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311551	[키다리교무님의 정전공부] 마음의 힘을 키우자
20250326_180402	output\311521.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311521	[키다리교무님의 정전공부] 광대무량한 낙원으로 인도하자 3
20250326_180402	output\311462.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311462	[키다리교무님의 정전공부] 광대무량한 낙원으로 인도하자 2
20250326_180402	output\311392.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311392	[키다리교무님의 정전공부] 광대무량한 낙원으로 인도하자
20250326_180926	output\311730.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311730	[일상문답] 유무념 조항을 자꾸 잊고 삽니다
20250326_180926	output\311671.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311671	[일상문답] 육아가 너무 어려워요
20250326_180926	output\311607.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311607	[일상문답] 힘이 되는 부모가 되어주고 싶어요
20250326_180927	output\311561.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311561	[일상문답] 조언을 잘 하는 사람이고 싶어요
20250326_180927	output\311510.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311510	[일상문답] 교무님에게 힘을 주고 싶어요
20250326_180927	output\311460.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311460	[일상문답] 구성원 간 업무 대처 방법이 다릅니다
20250326_180927	output\311400.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311400	[일상문답] 은혜의 소종래에 대하여
20250326_180928	output\311349.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311349	[일상문답] ‘빈 마음’은 어떤 마음인가요
20250326_180928	output\311368.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=311368	[키다리교무님의 정전공부] 정전공부를 시작하며
20250326_181500	output\307474.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307474	원불교 100년 100장면: 장면 0
20250326_181500	output\307533.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307533	원불교 100년 100장면: 장면 1
20250326_181500	output\307543.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307543	장면 0: 원불교 교조 소태산 박중빈 대종사
20250326_181500	output\307578.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307578	원불교 100년 100장면: 장면 2
20250326_181501	output\307602.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307602	장면1: 1891년, 소태산 박중빈 대종사 탄생하다
20250326_181901	output\307638.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307638	원불교 100년 100장면: 장면 3
20250326_181901	output\307645.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307645	장면2: 1900년, 새 회상 법모 정산 송규 종사 탄생하다
20250326_181902	output\307685.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307685	장면3: 1901년, 소태산 대종사 삼밭재에서 기도 올리다
20250326_181902	output\307715.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307715	원불교 100년 100장면: 장면 4
20250326_181902	output\307747.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307747	장면4: 1911년, 소태산 대종사 석굴에서 선정에 들다
20250326_181902	output\307753.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307753	원불교 100년 100장면: 장면 5
20250326_181902	output\307810.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307810	원불교 100년 100장면: 장면 6
20250326_181903	output\307817.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307817	장면5: 1913년, 정산 송규 거북바위에서 기도 올리다
20250326_181903	output\307847.txt	https://www.wonnews.co.kr/news/articleView.html?idxno=307847	원불교 100년 100장면: 장면 7
